order_details_id;order_id;pizza_id;quantity
21671;9513;cali-ckn-m;
17259;7591;green garden s;1
19844;8724;the-greek-xl;1
24185;10625;;1
13779;6037;thai_ckn_m;1
24800;10908;thai-ckn-m;1
3785;1684;bbq_ckn_l;1
41681;18339;the-greek-m;1
5745;2547;cl@ssic_dlx_m;1
20947;9191;hawaiian_s;1
22099;9705;napolitana l;
25439;11190;sicilian-m;1
44473;19547;ital_supr_m;
39764;17503;;
850;374;big-meat-s;one
26952;11859;ital_cpcllo_l;1
21914;9623;ckn_alfred0_m;One
20284;8912;;1
46273;20323;;1
9177;4021;ckn_pesto_s;1
2425;1079;thai_ckn_s;1
13097;5740;bbq-ckn-l;1
6010;2664;prsc_argla_m;one
17936;7869;southw_ckn_l;1
41715;18348;cali ckn m;one
42285;18602;mediterraneo_s;
33159;14655;;1
5553;2456;pep_msh_pep_l;1
8805;3861;thai_ckn_l;1
27820;12256;spin_pesto_m;1
7551;3325;it@l_cpcllo_l;1
13438;5894;;1
46328;20351;cl@ssic_dlx_m;One
13400;5879;ital_cpcll0_l;one
39788;17514;pep_msh_pep_s;1
25892;11392;ital_veggie_m;one
3126;1382;mexicana_s;1
8523;3733;;1
44313;19478;napolitana_s;1
5013;2217;sicilian_s;1
18031;7911;spin@ch_fet_l;1
47097;20702;;1
13777;6035;;1
10445;4575;hawaiian_l;1
431;183;spin-pesto-l;1
28966;12777;spinach-fet-m;1
3647;1618;pepperoni m;1
29479;13023;spinach_fet_m;1
21170;9283;;1
22171;9740;cali_ckn_m;
8119;3564;sicilian_m;1
46905;20598;mediterraneo_s;1
13162;5764;mediterraneo_s;1
23504;10334;cali_ckn_m;one
38555;16995;southw ckn s;1
33923;14980;bbq_ckn_m;1
41850;18410;mexicana-l;-1
20697;9084;pep_msh_pep_m;1
39192;17272;spicy_ital_m;1
16245;7146;spicy_ital_l;1
17447;7666;ital_supr_l;1
16072;7072;ital supr l;1
24294;10675;cali_ckn_m;1
38915;17155;cali_ckn_l;one
39010;17193;southw-ckn-l;1
37357;16490;;1
35161;15524;;1
39853;17541;;one
