order_id,date,time,pizzas,day
1,01/01/2015,11:38:36,['hawaiian_m'],Thursday
2,01/01/2015,11:57:40,"['classic_dlx_m', 'five_cheese_l', 'ital_supr_l', 'mexicana_m', 'thai_ckn_l']",Thursday
3,01/01/2015,12:12:28,"['ital_supr_m', 'prsc_argla_l']",Thursday
4,01/01/2015,12:16:31,['ital_supr_m'],Thursday
5,01/01/2015,12:21:30,['ital_supr_m'],Thursday
6,01/01/2015,12:29:36,"['bbq_ckn_s', 'the_greek_s']",Thursday
7,01/01/2015,12:50:37,['spinach_supr_s'],Thursday
8,01/01/2015,12:51:37,['spinach_supr_s'],Thursday
9,01/01/2015,12:52:01,"['classic_dlx_s', 'green_garden_s', 'ital_cpcllo_l', 'ital_supr_l', 'ital_supr_s', 'mexicana_s', 'spicy_ital_l', 'spin_pesto_l', 'veggie_veg_s']",Thursday
10,01/01/2015,13:00:15,"['mexicana_l', 'southw_ckn_l']",Thursday
11,01/01/2015,13:02:59,"['bbq_ckn_l', 'cali_ckn_l', 'cali_ckn_m', 'pepperoni_l']",Thursday
12,01/01/2015,13:04:41,"['cali_ckn_l', 'cali_ckn_s', 'ckn_pesto_l', 'ital_supr_m']",Thursday
13,01/01/2015,13:11:55,['mexicana_l'],Thursday
14,01/01/2015,13:14:19,['the_greek_s'],Thursday
15,01/01/2015,13:33:00,"['big_meat_s', 'five_cheese_l', 'soppressata_l', 'the_greek_s']",Thursday
16,01/01/2015,13:34:07,"['four_cheese_l', 'napolitana_s', 'thai_ckn_l']",Thursday
17,01/01/2015,13:53:00,"['bbq_ckn_l', 'calabrese_m', 'five_cheese_l', 'four_cheese_m', 'ital_supr_m', 'ital_veggie_s', 'mediterraneo_m', 'mexicana_l', 'peppr_salami_s', 'spinach_fet_l']",Thursday
18,01/01/2015,13:57:08,['napolitana_l'],Thursday
19,01/01/2015,13:59:09,"['ital_cpcllo_l', 'sicilian_l']",Thursday
20,01/01/2015,14:03:08,"['big_meat_s', 'five_cheese_l']",Thursday
21,01/01/2015,14:14:29,['ital_cpcllo_l'],Thursday
22,01/01/2015,14:16:26,"['five_cheese_l', 'ital_cpcllo_m', 'southw_ckn_l']",Thursday
23,01/01/2015,14:19:03,['southw_ckn_s'],Thursday
24,01/01/2015,14:23:01,"['bbq_ckn_m', 'ital_cpcllo_m', 'pepperoni_m', 'prsc_argla_s']",Thursday
25,01/01/2015,14:44:44,"['sicilian_m', 'thai_ckn_l']",Thursday
26,01/01/2015,14:54:26,"['classic_dlx_s', 'veggie_veg_l']",Thursday
27,01/01/2015,15:11:17,"['bbq_ckn_l', 'classic_dlx_m', 'spinach_fet_l']",Thursday
28,01/01/2015,15:35:46,['ckn_alfredo_s'],Thursday
29,01/01/2015,15:41:01,['green_garden_s'],Thursday
30,01/01/2015,15:41:25,['thai_ckn_l'],Thursday
31,01/01/2015,15:50:18,"['mexicana_m', 'pepperoni_s']",Thursday
32,01/01/2015,15:53:18,"['big_meat_s', 'green_garden_l', 'ital_cpcllo_l', 'ital_supr_m']",Thursday
33,01/01/2015,15:54:08,"['bbq_ckn_l', 'green_garden_s']",Thursday
34,01/01/2015,16:21:21,['the_greek_s'],Thursday
35,01/01/2015,16:32:04,"['green_garden_m', 'pep_msh_pep_l', 'pepperoni_m', 'thai_ckn_l']",Thursday
36,01/01/2015,16:54:09,"['bbq_ckn_m', 'classic_dlx_m']",Thursday
37,01/01/2015,16:56:09,"['ital_supr_l', 'mexicana_l']",Thursday
38,01/01/2015,17:03:00,"['hawaiian_s', 'ital_cpcllo_l']",Thursday
39,01/01/2015,17:07:23,['ital_supr_l'],Thursday
40,01/01/2015,17:14:36,"['four_cheese_l', 'southw_ckn_s']",Thursday
41,01/01/2015,17:15:20,"['four_cheese_m', 'green_garden_s']",Thursday
42,01/01/2015,17:28:09,"['big_meat_s', 'five_cheese_l', 'mexicana_l', 'peppr_salami_m']",Thursday
43,01/01/2015,17:38:34,"['ckn_alfredo_m', 'ital_supr_m', 'peppr_salami_l']",Thursday
44,01/01/2015,17:54:20,['spin_pesto_s'],Thursday
45,01/01/2015,17:55:48,"['four_cheese_l', 'hawaiian_s', 'thai_ckn_m']",Thursday
46,01/01/2015,18:25:51,"['ckn_pesto_l', 'classic_dlx_l', 'thai_ckn_m']",Thursday
47,01/01/2015,18:26:34,"['southw_ckn_l', 'veggie_veg_s']",Thursday
48,01/01/2015,18:26:42,"['ckn_pesto_m', 'green_garden_s', 'prsc_argla_l', 'spicy_ital_l']",Thursday
49,01/01/2015,18:33:00,['sicilian_l'],Thursday
50,01/01/2015,18:41:01,['the_greek_xl'],Thursday
51,01/01/2015,18:48:28,"['bbq_ckn_l', 'pep_msh_pep_l']",Thursday
52,01/01/2015,18:53:02,"['hawaiian_l', 'mexicana_l', 'spicy_ital_l']",Thursday
53,01/01/2015,18:54:17,"['pep_msh_pep_s', 'spinach_supr_m']",Thursday
54,01/01/2015,19:01:45,"['prsc_argla_m', 'thai_ckn_l']",Thursday
55,01/01/2015,19:03:19,"['peppr_salami_s', 'spicy_ital_l']",Thursday
56,01/01/2015,19:07:00,"['classic_dlx_m', 'mediterraneo_l', 'southw_ckn_m']",Thursday
57,01/01/2015,19:10:51,['classic_dlx_m'],Thursday
58,01/01/2015,19:30:40,"['five_cheese_l', 'pepperoni_m']",Thursday
59,01/01/2015,19:40:08,"['ital_veggie_s', 'pep_msh_pep_s', 'pepperoni_l']",Thursday
60,01/01/2015,20:05:16,"['ckn_pesto_l', 'four_cheese_m']",Thursday
61,01/01/2015,20:08:43,"['bbq_ckn_m', 'ital_supr_l']",Thursday
62,01/01/2015,20:50:16,"['bbq_ckn_m', 'spinach_supr_m']",Thursday
63,01/01/2015,20:51:42,['pep_msh_pep_m'],Thursday
64,01/01/2015,20:52:08,['big_meat_s'],Thursday
65,01/01/2015,21:16:00,"['pep_msh_pep_s', 'sicilian_s', 'spicy_ital_s', 'spinach_supr_m']",Thursday
66,01/01/2015,21:47:55,"['classic_dlx_m', 'ital_cpcllo_m']",Thursday
67,01/01/2015,22:03:40,['southw_ckn_l'],Thursday
68,01/01/2015,22:07:32,"['classic_dlx_m', 'ital_supr_l', 'ital_supr_m']",Thursday
69,01/01/2015,22:12:13,['bbq_ckn_l'],Thursday
70,02/01/2015,11:38:51,"['ital_veggie_s', 'soppressata_l']",Friday
71,02/01/2015,11:40:50,['thai_ckn_l'],Friday
72,02/01/2015,11:57:25,['spinach_fet_l'],Friday
73,02/01/2015,11:58:56,['thai_ckn_s'],Friday
74,02/01/2015,12:01:12,"['five_cheese_l', 'mexicana_l', 'spin_pesto_s', 'spinach_supr_l']",Friday
75,02/01/2015,12:10:15,"['ital_supr_s', 'mediterraneo_l', 'napolitana_l']",Friday
