order_id,date,pizzas,day
8886,2016-05-29 00:00:00,['sicilian_m'],Sunday
11424,2016-07-10 00:00:00,"['spin_pesto_m', 'pepperoni_s']",Sunday
19361,2016-11-26 00:00:00,['napolitana_s'],Saturday
4489,2016-03-17 00:00:00,['sicilian_s'],Thursday
7112,2016-04-30 00:00:00,"['ckn_pesto_l', 'the_greek_l']",Saturday
18209,2016-11-05 23:00:00,['napolitana_l'],Saturday
3713,2016-03-04 14:45:20,"['cali_ckn_l', 'mexicana_m', 'hawaiian_s']",Friday
892,2016-01-15 18:04:29,['mediterraneo_l'],Friday
7810,2016-05-11 00:00:00,"['peppr_salami_m', 'southw_ckn_s']",Wednesday
10155,2016-06-19 20:04:41,"['spin_pesto_s', 'spicy_ital_l', 'bbq_ckn_m', 'ckn_alfredo_m']",Sunday
3824,2016-03-06 00:00:00,['pep_msh_pep_m'],Sunday
18673,2016-11-14 00:00:00,['calabrese_m'],Monday
16187,2016-09-30 00:00:00,['brie_carre_s'],Friday
19260,2016-11-25 00:00:00,"['the_greek_m', 'ital_supr_l', 'peppr_salami_s']",Friday
2651,2016-02-13 00:00:00,['cali_ckn_l'],Saturday
15614,2016-09-18 00:00:00,"['spin_pesto_s', 'classic_dlx_s', 'hawaiian_l']",Sunday
10992,2016-07-02 22:00:00,"['pepperoni_s', 'napolitana_m']",Saturday
9347,2016-06-06 15:19:33,"['pepperoni_l', 'hawaiian_l']",Monday
17625,2016-10-28 00:00:00,['ckn_alfredo_m'],Friday
9981,2016-06-16 00:00:00,['five_cheese_l'],Thursday
10258,2016-06-21 00:00:00,['cali_ckn_l'],Tuesday
19347,2016-11-26 00:00:00,['pepperoni_m'],Saturday
1504,2016-01-26 00:00:00,"['pepperoni_l', 'pepperoni_m', 'southw_ckn_l', 'spin_pesto_l', 'cali_ckn_s', 'mediterraneo_l', 'green_garden_m', 'thai_ckn_l']",Tuesday
19883,2016-12-04 16:46:20,"['veggie_veg_m', 'prsc_argla_l']",Sunday
18739,2016-11-16 00:00:00,['spinach_fet_m'],Wednesday
7781,2016-05-11 13:56:21,"['southw_ckn_s', 'spin_pesto_l']",Wednesday
20287,2016-12-11 00:00:00,"['soppressata_m', 'ckn_alfredo_m']",Sunday
18950,2016-11-19 00:00:00,['five_cheese_l'],Saturday
5534,2016-04-03 00:00:00,"['cali_ckn_l', 'spicy_ital_l']",Sunday
7866,2016-05-12 00:00:00,['mediterraneo_m'],Thursday
2202,2016-02-06 00:00:00,['napolitana_s'],Saturday
12250,2016-07-24 00:00:00,['pepperoni_s'],Sunday
14665,2016-09-02 00:00:00,"['the_greek_m', 'calabrese_m', 'classic_dlx_m']",Friday
2691,2016-02-13 23:00:00,['four_cheese_l'],Saturday
4468,2016-03-16 00:00:00,['veggie_veg_m'],Wednesday
5399,2016-04-01 15:12:18,"['southw_ckn_l', 'prsc_argla_m', 'pep_msh_pep_s']",Friday
4216,2016-03-12 00:00:00,"['thai_ckn_l', 'pep_msh_pep_s', 'big_meat_s', 'southw_ckn_m']",Saturday
18459,2016-11-11 13:07:53,"['spinach_supr_s', 'mediterraneo_s']",Friday
2477,2016-02-11 12:20:06,"['thai_ckn_s', 'ckn_alfredo_s']",Thursday
14795,2016-09-04 00:00:00,"['four_cheese_l', 'soppressata_l', 'pepperoni_s']",Sunday
16678,2016-10-09 00:00:00,['pepperoni_m'],Sunday
18708,2016-11-15 17:10:40,"['cali_ckn_s', 'spinach_fet_l']",Tuesday
11615,2016-07-13 00:00:00,['cali_ckn_s'],Wednesday
9976,2016-06-16 00:00:00,['prsc_argla_l'],Thursday
7833,2016-05-12 13:11:04,['big_meat_s'],Thursday
20400,2016-12-13 00:00:00,"['ital_cpcllo_l', 'the_greek_xl', 'mexicana_l']",Tuesday
14792,2016-09-04 00:00:00,"['thai_ckn_l', 'pepperoni_m', 'four_cheese_l']",Sunday
20545,2016-12-15 00:00:00,['bbq_ckn_l'],Thursday
14122,2016-08-24 00:00:00,['mediterraneo_m'],Wednesday
13109,2016-08-07 00:00:00,"['prsc_argla_m', 'spicy_ital_l']",Sunday
186,2016-01-03 00:00:00,"['southw_ckn_l', 'spin_pesto_l', 'thai_ckn_l', 'mexicana_l']",Sunday
4753,2016-03-21 00:00:00,['spicy_ital_m'],Monday
12569,2016-07-29 00:00:00,"['sicilian_m', 'bbq_ckn_l', 'five_cheese_l']",Friday
6537,2016-04-20 16:39:18,['veggie_veg_m'],Wednesday
9487,2016-06-07 22:00:00,"['veggie_veg_m', 'thai_ckn_m']",Tuesday
7099,2016-04-29 20:21:46,['southw_ckn_l'],Friday
10332,2016-06-23 00:00:00,['classic_dlx_m'],Thursday
18620,2016-11-13 22:03:35,['sicilian_m'],Sunday
18329,2016-11-09 00:00:00,['bbq_ckn_l'],Wednesday
14959,2016-09-07 00:00:00,"['big_meat_s', 'the_greek_l']",Wednesday
20900,2016-12-21 14:28:03,['big_meat_s'],Wednesday
6502,2016-04-20 11:43:35,"['spinach_supr_s', 'spinach_supr_l']",Wednesday
12982,2016-08-05 00:00:00,['peppr_salami_m'],Friday
6436,2016-04-18 00:00:00,['soppressata_l'],Monday
11804,2016-07-16 20:46:14,"['spicy_ital_l', 'spin_pesto_l', 'ital_supr_l', 'sicilian_l']",Saturday
3146,2016-02-22 00:00:00,"['peppr_salami_s', 'four_cheese_l']",Monday
14786,2016-09-04 00:00:00,"['pepperoni_l', 'ital_cpcllo_l']",Sunday
4479,2016-03-17 00:00:00,"['big_meat_s', 'four_cheese_l', 'napolitana_l', 'soppressata_m', 'spinach_fet_m']",Thursday
1448,2016-01-24 00:00:00,['ital_supr_m'],Sunday
20707,2016-12-18 12:58:20,['spicy_ital_l'],Sunday
6060,2016-04-12 00:00:00,['classic_dlx_s'],Tuesday
17925,2016-11-01 00:00:00,['the_greek_m'],Tuesday
14100,2016-08-23 00:00:00,"['pep_msh_pep_s', 'spinach_fet_l']",Tuesday
10914,2016-07-02 00:00:00,"['big_meat_s', 'the_greek_s', 'the_greek_m']",Saturday
4142,2016-03-11 00:00:00,"['spinach_supr_m', 'prsc_argla_m']",Friday
592,2016-01-10 17:41:55,"['ital_veggie_s', 'pep_msh_pep_m']",Sunday
5116,2016-03-27 00:00:00,"['prsc_argla_l', 'veggie_veg_m', 'the_greek_s']",Sunday
16364,2016-10-02 00:00:00,['mexicana_m'],Sunday
5321,2016-03-31 00:00:00,['spicy_ital_m'],Thursday
7179,2016-05-01 12:18:58,['spinach_fet_l'],Sunday
3373,2016-02-26 00:00:00,['spicy_ital_l'],Friday
14803,2016-09-04 00:00:00,"['ckn_alfredo_m', 'pepperoni_s']",Sunday
19151,2016-11-23 16:20:09,"['spicy_ital_l', 'bbq_ckn_s', 'bbq_ckn_s']",Wednesday
13900,2016-08-20 13:32:59,"['big_meat_s', 'cali_ckn_l']",Saturday
8087,2016-05-15 00:00:00,"['calabrese_m', 'sicilian_l', 'spicy_ital_l']",Sunday
6023,2016-04-11 20:48:57,"['ital_veggie_s', 'peppr_salami_l', 'mexicana_m']",Monday
18645,2016-11-13 23:00:00,['mediterraneo_l'],Sunday
11659,2016-07-14 14:21:28,"['cali_ckn_l', 'big_meat_s']",Thursday
1590,2016-01-27 00:00:00,"['spin_pesto_m', 'napolitana_l', 'ckn_alfredo_m']",Wednesday
140,2016-01-03 00:00:00,"['veggie_veg_m', 'prsc_argla_s']",Sunday
6909,2016-04-26 17:21:17,"['southw_ckn_s', 'spinach_fet_l']",Tuesday
12579,2016-07-29 00:00:00,['big_meat_s'],Friday
1798,2016-01-31 00:00:00,['ckn_pesto_l'],Sunday
17930,2016-11-01 00:00:00,['the_greek_xl'],Tuesday
10692,2016-06-29 00:00:00,"['spinach_supr_s', 'southw_ckn_s', 'sicilian_m', 'classic_dlx_m']",Wednesday
7512,2016-05-05 22:00:00,"['pep_msh_pep_s', 'cali_ckn_m']",Thursday
1541,2016-01-26 18:10:06,['thai_ckn_m'],Tuesday
5809,2016-04-08 00:00:00,"['soppressata_m', 'spinach_supr_s']",Friday
6761,2016-04-23 22:00:00,['the_greek_xl'],Saturday
14478,2016-08-30 00:00:00,['thai_ckn_l'],Tuesday
11435,2016-07-10 00:00:00,"['thai_ckn_l', 'bbq_ckn_s', 'spinach_fet_s']",Sunday
14898,2016-09-06 00:00:00,"['mexicana_m', 'spinach_fet_l']",Tuesday
19965,2016-12-05 00:00:00,"['spinach_fet_s', 'five_cheese_l']",Monday
11550,2016-07-12 00:00:00,"['pep_msh_pep_m', 'peppr_salami_l']",Tuesday
