pizza_type_id,name,category,ingredients,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
bbq_ckn,The Barbecue Chicken Pizza,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",261.0,256.5,229.0,280.0,281.5,296.0,227.0
cali_ckn,The California Chicken Pizza,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",236.5,218.0,242.0,225.5,292.0,252.5,206.0
ckn_alfredo,The Chicken Alfredo Pizza,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",128.0,99.0,104.0,93.0,103.5,100.0,77.5
ckn_pesto,The Chicken Pesto Pizza,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",93.0,89.0,107.0,100.5,121.5,84.5,82.5
southw_ckn,The Southwest Chicken Pizza,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",215.0,184.0,207.5,212.0,226.5,190.5,188.5
thai_ckn,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",258.5,236.0,226.0,221.5,295.5,284.5,216.0
big_meat,The Big Meat Pizza,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",125.0,103.0,107.0,111.0,135.0,136.0,120.0
classic_dlx,The Classic Deluxe Pizza,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",211.0,225.5,225.5,219.5,268.0,218.0,182.5
hawaiian,The Hawaiian Pizza,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",220.0,218.5,230.0,255.5,242.0,228.5,201.0
ital_cpcllo,The Italian Capocollo Pizza,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",144.0,195.5,116.0,164.0,195.5,154.0,118.0
napolitana,The Napolitana Pizza,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",147.5,141.5,122.5,161.0,157.5,151.5,119.0
pep_msh_pep,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,"Pepperoni, Mushrooms, Green Peppers",133.0,98.0,124.0,133.5,154.0,139.0,105.0
pepperoni,The Pepperoni Pizza,Classic,"Mozzarella Cheese, Pepperoni",208.5,205.0,198.5,246.0,336.5,215.0,235.5
the_greek,The Greek Pizza,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",180.5,163.0,159.5,188.0,225.0,230.0,114.5
brie_carre,The Brie Carre Pizza,Supreme,"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic",30.0,33.0,27.0,36.0,29.0,26.0,34.0
calabrese,The Calabrese Pizza,Supreme,"ï¿½Nduja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",99.0,80.5,94.5,106.5,99.0,98.0,87.0
ital_supr,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",182.5,208.0,189.0,245.5,220.0,208.0,184.5
peppr_salami,The Pepper Salami Pizza,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",133.5,157.0,140.0,163.5,196.0,141.0,149.5
prsc_argla,The Prosciutto and Arugula Pizza,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",126.5,138.5,123.5,143.5,178.0,141.5,139.5
sicilian,The Sicilian Pizza,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",156.0,182.0,186.5,199.0,209.5,190.5,126.0
soppressata,The Soppressata Pizza,Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",104.0,104.0,110.0,101.5,106.5,104.5,72.5
spicy_ital,The Spicy Italian Pizza,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",191.0,198.5,168.5,205.0,280.0,233.0,186.0
spinach_supr,The Spinach Supreme Pizza,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",97.5,76.0,101.0,88.0,120.5,93.5,71.0
five_cheese,The Five Cheese Pizza,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",186.0,188.0,178.0,186.0,226.0,172.0,156.0
four_cheese,The Four Cheese Pizza,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",198.5,243.5,251.5,253.5,272.5,226.5,184.5
green_garden,The Green Garden Pizza,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",89.0,81.0,75.5,77.0,100.5,94.0,62.0
ital_veggie,The Italian Vegetables Pizza,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",86.5,86.0,98.5,99.5,133.0,111.5,70.5
mediterraneo,The Mediterranean Pizza,Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",111.0,82.5,72.5,81.5,115.0,88.5,79.5
mexicana,The Mexicana Pizza,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",142.5,161.0,145.5,190.5,177.5,188.0,140.0
spin_pesto,The Spinach Pesto Pizza,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",78.5,82.0,78.5,78.5,122.5,107.5,83.5
spinach_fet,The Spinach and Feta Pizza,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",143.5,155.5,134.0,125.0,163.0,137.5,136.5
veggie_veg,The Vegetables + Vegetables Pizza,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",143.0,153.5,159.5,131.5,174.5,181.0,131.0
