,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51
bbq_ckn,82,66,74,84,94,70,85,72,75,87,90,70,78,80,84,70,92,78,80,89,80,85,71,59,69,82,81,72,84,71,79,58,67,64,78,71,81,72,59,68,59,66,49,66,76,85,71,101,56,79,73,39
cali_ckn,74,55,92,56,89,71,68,88,91,74,54,69,74,72,65,63,66,81,84,70,70,78,78,80,73,80,61,69,73,68,73,109,83,58,66,55,81,81,48,43,49,66,67,64,101,79,52,93,82,88,76,47
ckn_alfredo,46,23,22,27,38,26,33,18,35,39,20,38,45,34,29,15,20,47,20,21,33,31,21,36,35,22,24,23,25,30,21,30,28,16,48,26,22,35,29,27,13,41,28,32,44,39,16,37,36,20,34,11
ckn_pesto,33,34,21,20,27,29,34,38,25,27,22,30,33,23,27,47,35,34,20,29,23,31,33,11,45,25,38,24,23,31,36,33,27,14,28,34,41,37,17,28,18,31,14,39,28,32,24,34,25,28,36,15
southw_ckn,47,71,48,50,47,70,75,53,78,75,46,64,70,70,63,62,56,67,51,58,62,75,58,41,58,57,76,59,72,62,60,63,74,57,55,62,73,56,65,52,78,56,47,63,75,61,57,64,76,59,49,35
thai_ckn,92,63,82,75,63,56,85,68,66,90,80,78,74,109,84,82,53,75,67,88,70,63,71,69,91,77,99,79,82,91,74,59,67,77,72,89,85,66,73,49,87,73,73,81,74,78,86,99,80,83,95,63
big_meat,37,30,34,37,40,31,35,39,36,43,49,28,41,32,20,41,37,34,49,41,41,40,47,27,33,33,46,33,33,45,41,37,47,38,24,34,36,33,30,29,36,31,34,37,53,33,39,40,38,28,48,30
classic_dlx,75,58,53,57,62,61,67,66,58,65,59,70,69,66,83,74,60,73,68,93,63,59,63,65,56,75,91,61,64,78,69,67,76,63,65,76,70,70,61,60,48,66,65,82,51,76,60,101,66,67,67,54
hawaiian,73,51,57,66,58,71,84,58,86,88,68,57,69,84,73,70,66,77,61,80,61,48,67,84,63,68,72,52,61,81,60,87,52,82,44,85,73,76,43,76,49,78,48,60,73,83,65,96,87,73,68,52
ital_cpcllo,52,39,43,39,72,48,47,35,52,46,50,29,47,67,55,29,52,40,40,38,40,62,51,38,48,53,58,47,55,38,42,45,44,37,56,55,32,49,38,43,33,41,35,36,46,33,38,59,45,42,59,30
napolitana,39,48,49,62,40,45,44,48,44,25,53,31,37,46,37,43,34,31,39,43,35,41,55,61,37,51,51,25,51,39,46,49,57,53,37,43,43,58,28,42,43,38,57,39,43,33,47,39,54,35,29,23
pep_msh_pep,29,32,35,39,36,29,38,38,48,34,56,29,25,46,36,44,23,45,41,36,42,39,47,37,36,45,49,33,37,38,37,39,49,36,35,51,50,33,31,36,29,42,27,36,17,22,29,51,39,33,33,22
pepperoni,85,80,101,68,75,77,71,68,70,60,58,66,77,55,65,45,58,82,90,90,61,71,58,56,64,58,87,70,68,81,50,72,86,67,78,79,68,82,48,70,58,65,70,74,69,71,58,64,83,54,72,33
the_greek,55,60,44,56,50,44,62,41,43,33,63,47,55,71,96,41,62,47,79,40,60,41,48,59,54,55,50,49,56,55,33,49,38,73,44,48,42,60,38,43,33,55,41,54,65,35,69,60,47,63,46,28
brie_carre,8,5,7,12,12,12,12,10,7,12,10,10,8,10,6,6,8,10,15,10,10,8,11,9,11,4,12,13,11,7,10,8,11,12,5,14,17,4,12,6,6,8,9,7,8,11,11,11,9,11,8,4
calabrese,15,34,18,27,43,25,29,43,23,23,25,17,29,40,28,25,29,14,36,27,33,34,30,38,32,34,33,29,35,22,33,32,26,20,25,12,30,31,18,25,27,27,29,39,26,39,38,31,23,29,29,17
ital_supr,80,71,51,44,63,71,62,48,39,56,58,57,56,69,61,68,73,62,58,60,86,65,70,52,71,63,66,49,38,51,61,70,74,38,61,64,57,60,35,51,51,57,44,41,83,77,56,73,60,52,61,30
peppr_salami,37,63,46,46,53,35,33,41,63,39,46,51,38,42,68,52,47,44,37,51,33,53,55,44,50,41,43,48,66,37,28,42,48,25,41,52,53,30,24,41,36,46,52,48,54,43,41,60,51,51,44,21
prsc_argla,43,45,40,50,42,51,54,36,43,52,47,30,45,55,24,36,34,32,35,40,36,44,58,40,31,41,54,51,33,42,31,54,44,34,36,40,44,39,30,43,62,42,38,54,44,41,44,46,42,31,46,24
sicilian,59,65,60,54,56,70,64,46,62,39,59,57,49,44,47,48,58,29,57,65,44,77,37,66,61,41,47,61,52,54,40,52,54,61,49,64,42,48,38,64,44,56,49,62,61,45,65,77,63,66,56,30
