,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
bbq_ckn,56,34,48,56,74,46,54,50,42,67,43,51,48,55,66,54,63,35,58,58,57,64,45,50,38,67,61,52,41,60,46,40,55,41,59,57,60,48,37,60,33,50,21,53,45,61,52,60,46,57,52,31,17
cali_ckn,53,36,56,36,67,53,43,55,51,45,38,42,45,47,36,53,28,51,60,51,49,50,50,51,55,41,33,48,60,46,51,75,62,45,32,37,54,57,29,29,38,39,43,44,66,43,41,62,55,60,64,22,13
ckn_alfredo,37,9,12,20,25,22,28,8,13,27,17,22,36,16,19,8,12,29,10,17,22,27,16,22,27,10,16,16,22,23,9,24,19,10,31,24,16,22,18,25,9,21,18,21,37,27,12,20,24,19,21,8,4
ckn_pesto,22,23,14,17,24,22,27,30,14,24,6,24,27,15,25,24,25,29,7,22,16,22,16,10,32,19,23,20,19,15,28,21,27,10,23,25,33,26,13,19,11,21,14,25,16,25,18,23,22,17,22,13,3
southw_ckn,34,50,34,27,33,41,52,27,53,52,38,46,40,61,47,49,34,40,40,36,30,56,35,31,33,38,51,44,43,47,43,37,46,31,45,44,54,51,37,41,50,35,27,39,58,42,47,47,40,57,29,27,13
thai_ckn,57,37,47,45,49,35,56,51,37,64,56,58,47,58,65,56,49,36,51,66,39,41,56,38,72,62,69,47,64,54,35,49,48,49,36,66,48,44,42,39,67,50,45,60,45,41,55,57,67,61,63,58,5
big_meat,30,20,26,23,30,23,22,30,22,29,27,18,28,23,13,27,27,22,29,31,25,32,32,22,16,23,36,19,23,32,28,27,31,25,16,23,28,19,27,19,26,27,20,25,33,25,23,32,27,22,35,20,7
classic_dlx,57,39,42,38,48,47,42,47,27,49,38,46,44,48,50,48,45,57,39,51,44,44,33,49,33,53,48,34,54,48,60,41,51,44,43,52,58,41,44,50,40,43,42,52,40,36,40,67,44,41,37,34,16
hawaiian,49,34,39,48,41,43,61,34,54,60,39,47,49,64,47,48,49,55,47,49,43,43,44,55,62,36,54,36,35,58,41,60,49,49,31,66,47,48,26,62,34,54,30,40,58,53,51,67,55,54,42,42,10
ital_cpcllo,32,26,23,18,48,31,29,33,29,32,42,19,37,59,34,27,34,27,29,31,32,50,33,14,28,37,38,35,40,26,26,25,26,34,26,35,27,27,29,30,24,33,26,25,36,17,24,34,25,28,34,23,15
napolitana,23,30,19,42,24,29,34,34,20,24,37,21,27,30,32,31,28,23,27,21,22,29,35,29,27,28,36,16,39,28,37,27,31,29,26,21,27,38,20,26,27,31,44,25,35,15,31,38,33,36,18,20,6
pep_msh_pep,22,20,20,33,29,24,22,20,34,32,40,15,19,41,21,39,19,23,34,28,24,28,29,22,26,30,31,23,28,24,25,27,31,29,27,36,30,34,21,29,18,26,24,30,14,21,15,33,21,26,21,16,8
pepperoni,57,57,70,44,47,51,47,36,34,34,36,40,53,52,52,27,42,49,53,71,50,44,36,45,39,45,55,49,58,52,35,48,55,56,50,60,45,52,38,52,39,46,42,51,46,37,38,50,47,50,54,30,13
the_greek,38,41,29,34,33,28,34,29,36,22,36,32,26,53,72,36,41,34,52,31,36,46,27,37,35,41,33,32,42,35,29,37,25,55,22,34,31,38,29,28,14,48,28,40,44,26,55,38,40,33,30,30,6
brie_carre,5,4,6,6,9,10,9,9,5,8,6,9,6,5,7,3,5,6,10,7,10,8,7,3,7,4,7,12,4,3,7,4,6,8,4,11,12,4,8,2,5,6,5,5,4,6,9,9,5,10,5,2,0
calabrese,12,23,15,10,28,20,16,32,14,14,13,13,18,22,17,21,15,11,22,15,29,23,22,31,25,24,21,22,17,16,25,25,17,15,20,13,12,19,12,16,15,24,20,26,21,27,34,22,21,19,25,15,5
ital_supr,57,46,27,27,39,57,34,26,27,44,44,33,36,43,36,42,57,40,40,44,58,53,47,34,31,44,44,40,31,40,47,54,48,35,45,36,45,27,31,43,33,31,35,29,53,67,36,45,54,31,47,21,7
